Sample	Coalescent Time	First Ascertained	First Unascertained
1963	38.341926	47.254725	3.920100
2551	7.896704	3.582110	9.187050
0970	39.130849	18.128455	2.536750
3081	15.419724	19.928635	5.765175
1128	6.245151	16.293600	12.131505
1386	15.500000	8.067960	14.047755
3234	0.000000	1.868800	7.894220
4381	7.512716	17.541170	1.491390
0586	1.141016	9.242895	6.335670
3463	0.000000	8.951990	7.633245
2962	4.846220	15.896115	1.186615
4426	5.605700	12.023830	10.572590
2510	2.023011	2.190730	0.578160
4275	0.000000	7.034645	1.704915
4991	0.581046	10.651430	2.817800
4369	3.773187	10.121085	4.935530
1235	12.978200	7.277370	10.290080
3522	5.908524	15.843190	4.235460
2153	0.000000	10.598870	4.307365
0359	1.291471	1.140260	2.400240
2907	3.975548	10.340085	4.113550
0826	23.521576	25.663515	4.792450
3466	10.160067	21.495945	3.078775
4564	25.825759	4.767265	13.971105
3382	30.650316	3.866445	8.489170
1319	4.001379	18.026255	7.112390
0602	16.954939	14.353260	1.591765
3207	4.556074	18.238685	6.751040
1238	14.272369	20.352400	10.089330
4634	29.490334	13.435285	2.279790
0780	7.957081	12.242830	7.639815
0345	9.184515	8.115045	3.887250
3607	0.000000	2.428345	3.540865
3749	5.063486	7.116040	4.914725
1579	11.075791	7.938020	8.178190
0137	22.814383	38.573565	4.409565
4341	24.773123	26.039100	4.608125
3337	10.500000	9.880185	14.037900
0926	5.199604	15.948310	10.533170
